seq,folge,szene,rolle,voice_id,delivery,tags,text,text_v3
3,1,1.1,ERZÄHLER,,gesprochen,,"In der Wüste gibt es zwei Sorten Männer. Die, die begraben werden. Und die, die vergessen haben, dass man sie begraben hat.","In der Wüste gibt es zwei Sorten Männer. Die, die begraben werden. Und die, die vergessen haben, dass man sie begraben hat."
5,1,1.1,HELD,,gesprochen,[breathless],Mein Kopf … Wie heiß ich?,[breathless] Mein Kopf … Wie heiß ich?
6,1,1.1,ERZÄHLER,,gesprochen,,Er sieht an sich herab. Staubmantel. Stiefel. Ein Karabiner im Sand.,Er sieht an sich herab. Staubmantel. Stiefel. Ein Karabiner im Sand.
7,1,1.1,HELD,,gesprochen,[whispers],… Wie heiß ich?,[whispers] … Wie heiß ich?
9,1,1.1,ERZÄHLER,,gesprochen,,"Die Waffe liegt in seiner Hand, als hätte sie nie woanders gelegen. Sein Körper erinnert sich an Dinge, die sein Kopf nicht kennt.","Die Waffe liegt in seiner Hand, als hätte sie nie woanders gelegen. Sein Körper erinnert sich an Dinge, die sein Kopf nicht kennt."
10,1,1.1,HELD,,gesprochen,,"Da, wo Rauch ist, ist Feuer. Wo Feuer ist, sind Leute. Und wo Leute sind, weiß vielleicht einer, wer ich bin.","Da, wo Rauch ist, ist Feuer. Wo Feuer ist, sind Leute. Und wo Leute sind, weiß vielleicht einer, wer ich bin."
15,1,1.2,ERZÄHLER,,gesprochen,,"Rustwater. Windschiefe Häuser aus Bahnschwellen und Kesselblech. Ein rostiger Wasserturm, an den jemand mit Teer den Namen der Stadt gepinselt hat — das W tropft seit Jahren. Und an jeder dritten Wand: das Zahnrad der Iron Rail, durchbohrt von einer Schiene wie von einem Schwert.","Rustwater. Windschiefe Häuser aus Bahnschwellen und Kesselblech. Ein rostiger Wasserturm, an den jemand mit Teer den Namen der Stadt gepinselt hat — das W tropft seit Jahren. Und an jeder dritten Wand: das Zahnrad der Iron Rail, durchbohrt von einer Schiene wie von einem Schwert."
17,1,1.2,MABEL,,gesprochen,,"Tür zu, Fremder. Der Staub zahlt keine Zeche. Du siehst aus, als hätte dich die Wüste ausgespuckt, weil du ihr nicht geschmeckt hast.","Tür zu, Fremder. Der Staub zahlt keine Zeche. Du siehst aus, als hätte dich die Wüste ausgespuckt, weil du ihr nicht geschmeckt hast."
18,1,1.2,HELD,,gesprochen,,"Fühlt sich auch so an. Ich such … Ehrlich gesagt weiß ich nicht, was ich suche. Ich weiß nicht mal, wie ich heiße.","Fühlt sich auch so an. Ich such … Ehrlich gesagt weiß ich nicht, was ich suche. Ich weiß nicht mal, wie ich heiße."
19,1,1.2,ERZÄHLER,,gesprochen,,Mabel hört auf zu wischen. Ein Schlag Stille.,Mabel hört auf zu wischen. Ein Schlag Stille.
21,1,1.2,MABEL,,gesprochen,,"Hm. Kein Name, keine Vergangenheit, keine Schulden. Manche Männer reiten ihr Leben lang gen Westen, um das zu kriegen, was du gratis hast. — Aufs Haus, Kleiner.","Hm. Kein Name, keine Vergangenheit, keine Schulden. Manche Männer reiten ihr Leben lang gen Westen, um das zu kriegen, was du gratis hast. — Aufs Haus, Kleiner."
22,1,1.2,HELD,,gesprochen,,"Warum „Kleiner""? Ich bin einen Kopf größer als Sie.","Warum „Kleiner""? Ich bin einen Kopf größer als Sie."
23,1,1.2,MABEL,,gesprochen,,"Weil jeder, der in meinen Saloon kommt und nicht weiß, wer er ist, nochmal ganz von vorn anfängt. Und Neugeborene sind klein. Trink.","Weil jeder, der in meinen Saloon kommt und nicht weiß, wer er ist, nochmal ganz von vorn anfängt. Und Neugeborene sind klein. Trink."
25,1,1.2,ERZÄHLER,,gesprochen,,Die Welt bemerkt die Wahrheit ständig. Sie will sie nur nicht sehen.,Die Welt bemerkt die Wahrheit ständig. Sie will sie nur nicht sehen.
26,1,1.2,MABEL,,gesprochen,,"Also. Arbeit. Draußen an der Südsenke hocken Wegelagerer und pressen jeden Karren aus, der zu uns will. Der Konzern rührt keinen Finger — Iron Rail schützt Schienen, keine Menschen. Acht von dem Gesindel weniger, und Rustwater schuldet dir was. Ich zahl in Gold, nicht in Dankbarkeit. Dankbarkeit rostet.","Also. Arbeit. Draußen an der Südsenke hocken Wegelagerer und pressen jeden Karren aus, der zu uns will. Der Konzern rührt keinen Finger — Iron Rail schützt Schienen, keine Menschen. Acht von dem Gesindel weniger, und Rustwater schuldet dir was. Ich zahl in Gold, nicht in Dankbarkeit. Dankbarkeit rostet."
27,1,1.2,HELD,,gesprochen,,Gold rostet auch nicht schlecht.,Gold rostet auch nicht schlecht.
28,1,1.2,MABEL,,gesprochen,,"He, Fremder! Wenn die Wüste dich fragt, wer du bist — lass sie nicht antworten. Antworte selbst.","He, Fremder! Wenn die Wüste dich fragt, wer du bist — lass sie nicht antworten. Antworte selbst."
32,1,1.3,ERZÄHLER,,gesprochen,,"Eine Wasserstelle am Rand der Wüste. Vier Konzern-Konstrukte in Schützenlinie — mannshohe Automaten, Dampf aus den Nackenventilen — eskortieren einen Menschen in makelloser grauer Uniform. Vor ihnen kniet ein alter Siedler an seinem Fass.","Eine Wasserstelle am Rand der Wüste. Vier Konzern-Konstrukte in Schützenlinie — mannshohe Automaten, Dampf aus den Nackenventilen — eskortieren einen Menschen in makelloser grauer Uniform. Vor ihnen kniet ein alter Siedler an seinem Fass."
34,1,1.3,PATROUILLENFÜHRER,,gesprochen,[cold],"Wasserentnahme ohne Konzession, Paragraph neun. Das Fass ist konfisziert. Der Rest ist Verwaltungsgebühr.","[cold] Wasserentnahme ohne Konzession, Paragraph neun. Das Fass ist konfisziert. Der Rest ist Verwaltungsgebühr."
35,1,1.3,HELD,,gesprochen,[calm],"Das Fass gehört ihm. Das Wasser fällt vom Himmel. Sogar hier, zwei Mal im Jahr.","[calm] Das Fass gehört ihm. Das Wasser fällt vom Himmel. Sogar hier, zwei Mal im Jahr."
37,1,1.3,PATROUILLENFÜHRER,,gesprochen,[whispers],"Der Himmel steht nicht in meinen Büchern. Du schon bald, wenn du den Arm nicht sinken lässt. Ein Rat, Wüstling: Der Konzern zählt alles. Tropfen. Schrauben. Männer, die Fragen stellen. Und was der Konzern gezählt hat, gehört ihm.","[whispers] Der Himmel steht nicht in meinen Büchern. Du schon bald, wenn du den Arm nicht sinken lässt. Ein Rat, Wüstling: Der Konzern zählt alles. Tropfen. Schrauben. Männer, die Fragen stellen. Und was der Konzern gezählt hat, gehört ihm."
39,1,1.3,ERZÄHLER,,gesprochen,,Die Maschine hat ihn erkannt. Er wird das erst viel später verstehen.,Die Maschine hat ihn erkannt. Er wird das erst viel später verstehen.
