seq,folge,szene,typ,rolle,voice_id,delivery,regie,text
1,1,1.1,atmo,,,,"Wüstenwind, weit und leer. Ein einzelner Geier, fern.",
2,1,1.1,music,,,,"HERZ-/KOLBEN-MOTIV, sehr fern, sehr tief — man weiß nicht, ist es ein Herzschlag oder ein Kolben.",
3,1,1.1,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"In der Wüste gibt es zwei Sorten Männer. Die, die begraben werden. Und die, die vergessen haben, dass man sie begraben hat."
4,1,1.1,sfx,,,,"Eine Hand krallt sich in trockenen Sand. Stoff schleift. Ganz leise, kaum zu hören, ein sauberes metallisches Klicken.",
5,1,1.1,line,HELD,V_HELD,gesprochen,"heiser, an sich gepresst",Mein Kopf … Wie heiß ich?
6,1,1.1,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Er sieht an sich herab. Staubmantel. Stiefel. Ein Karabiner im Sand.
7,1,1.1,line,HELD,V_HELD,gesprochen,"leiser, verloren",… Wie heiß ich?
8,1,1.1,sfx,,,,"Er hebt den Karabiner auf, repetiert einmal durch — die Bewegung sitzt perfekt, geübt, selbstverständlich.",
9,1,1.1,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Die Waffe liegt in seiner Hand, als hätte sie nie woanders gelegen. Sein Körper erinnert sich an Dinge, die sein Kopf nicht kennt."
10,1,1.1,line,HELD,V_HELD,gesprochen,fasst einen Entschluss,"Da, wo Rauch ist, ist Feuer. Wo Feuer ist, sind Leute. Und wo Leute sind, weiß vielleicht einer, wer ich bin."
11,1,1.1,music,,,,Das Kolben-Motiv verklingt. Wind trägt es davon.,
12,1,1.1,transition,,,,BLENDE,
13,1,1.2,atmo,,,,"Der Wind legt sich. Von fern schwillt es an: ein verstimmtes Klavier, Stimmengewirr, klirrende Gläser.",
14,1,1.2,music,,,,"SALOON-KLAVIER, tapfer und schief.",
15,1,1.2,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Rustwater. Windschiefe Häuser aus Bahnschwellen und Kesselblech. Ein rostiger Wasserturm, an den jemand mit Teer den Namen der Stadt gepinselt hat — das W tropft seit Jahren. Und an jeder dritten Wand: das Zahnrad der Iron Rail, durchbohrt von einer Schiene wie von einem Schwert."
16,1,1.2,sfx,,,,Eine schwere Saloontür schwingt auf. Das Stimmengewirr dämpft sich einen Moment — der Fremde ist eingetreten.,
17,1,1.2,line,MABEL,V_MABEL,gesprochen,"rau, gemustert","Tür zu, Fremder. Der Staub zahlt keine Zeche. Du siehst aus, als hätte dich die Wüste ausgespuckt, weil du ihr nicht geschmeckt hast."
18,1,1.2,line,HELD,V_HELD,gesprochen,müde,"Fühlt sich auch so an. Ich such … Ehrlich gesagt weiß ich nicht, was ich suche. Ich weiß nicht mal, wie ich heiße."
19,1,1.2,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Mabel hört auf zu wischen. Ein Schlag Stille.
20,1,1.2,sfx,,,,Eine Flasche gluckert; ein Glas wird über den Tresen geschoben.,
21,1,1.2,line,MABEL,V_MABEL,gesprochen,weicher,"Hm. Kein Name, keine Vergangenheit, keine Schulden. Manche Männer reiten ihr Leben lang gen Westen, um das zu kriegen, was du gratis hast. — Aufs Haus, Kleiner."
22,1,1.2,line,HELD,V_HELD,gesprochen,,"Warum „Kleiner""? Ich bin einen Kopf größer als Sie."
23,1,1.2,line,MABEL,V_MABEL,gesprochen,,"Weil jeder, der in meinen Saloon kommt und nicht weiß, wer er ist, nochmal ganz von vorn anfängt. Und Neugeborene sind klein. Trink."
24,1,1.2,sfx,,,,"Er trinkt. Kein Zischen, kein Luftholen, kein Verziehen — beim schärfsten Fusel des Territoriums. Ganz kurz: Mabels Wischen stockt.",
25,1,1.2,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Die Welt bemerkt die Wahrheit ständig. Sie will sie nur nicht sehen.
26,1,1.2,line,MABEL,V_MABEL,gesprochen,Geschäftston,"Also. Arbeit. Draußen an der Südsenke hocken Wegelagerer und pressen jeden Karren aus, der zu uns will. Der Konzern rührt keinen Finger — Iron Rail schützt Schienen, keine Menschen. Acht von dem Gesindel weniger, und Rustwater schuldet dir was. Ich zahl in Gold, nicht in Dankbarkeit. Dankbarkeit rostet."
27,1,1.2,line,HELD,V_HELD,gesprochen,"steht auf, nimmt den Karabiner",Gold rostet auch nicht schlecht.
28,1,1.2,line,MABEL,V_MABEL,gesprochen,ruft ihm nach,"He, Fremder! Wenn die Wüste dich fragt, wer du bist — lass sie nicht antworten. Antworte selbst."
29,1,1.2,music,,,,Klavier setzt einen Akzent. Dann Wüstenwind.,
30,1,1.2,transition,,,,BLENDE,
31,1,1.3,atmo,,,,"Gleißender Mittag, Zikaden, tropfendes Wasser aus einem umgestürzten Fass.",
32,1,1.3,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Eine Wasserstelle am Rand der Wüste. Vier Konzern-Konstrukte in Schützenlinie — mannshohe Automaten, Dampf aus den Nackenventilen — eskortieren einen Menschen in makelloser grauer Uniform. Vor ihnen kniet ein alter Siedler an seinem Fass."
33,1,1.3,sfx,,,,Eine Messing-Lochkarte klackt in Position.,
34,1,1.3,line,PATROUILLENFÜHRER,V_PATROUILLE,gesprochen,"beamtenkalt, ohne aufzusehen","Wasserentnahme ohne Konzession, Paragraph neun. Das Fass ist konfisziert. Der Rest ist Verwaltungsgebühr."
35,1,1.3,line,HELD,V_HELD,gesprochen,"tritt hinzu, ruhig","Das Fass gehört ihm. Das Wasser fällt vom Himmel. Sogar hier, zwei Mal im Jahr."
36,1,1.3,sfx,,,,"Ein einziges, synchrones hydraulisches Zischen — vier Köpfe drehen sich wie einer. Das Grusel-Geräusch der Szene.",
37,1,1.3,line,PATROUILLENFÜHRER,V_PATROUILLE,gesprochen,"näher, leiser","Der Himmel steht nicht in meinen Büchern. Du schon bald, wenn du den Arm nicht sinken lässt. Ein Rat, Wüstling: Der Konzern zählt alles. Tropfen. Schrauben. Männer, die Fragen stellen. Und was der Konzern gezählt hat, gehört ihm."
38,1,1.3,sfx,,,,"Stiefel und Automatenschritte entfernen sich. Doch einer der Schritte stockt — ein Konstrukt bleibt einen halben Takt zu lang vor dem Helden stehen. Ein leises Ratschen, wie ein Karteikasten, der eine Karte zieht. Dann marschiert es weiter.",
39,1,1.3,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Die Maschine hat ihn erkannt. Er wird das erst viel später verstehen.
40,1,1.3,line,SIEDLER,V_SIEDLER,gesprochen,spuckt aus,"Danke, Mister. Aber merk dir: Die zählen wirklich alles. Und irgendwann holen sie die Rechnung."
41,1,1.3,transition,,,,BLENDE,
42,1,1.4,atmo,,,,Feldlazarett. Petroleumlampe zischelt. Nachtgrillen draußen.,
43,1,1.4,sfx,,,,"Ein Messing-Stethoskop auf der Brust. Stille. Es wird abgesetzt, ausgeklopft wie ein defektes Gerät, neu angesetzt.",
44,1,1.4,line,DOC ARIS,V_DOC,gesprochen,stirnrunzelnd,"Zwei Wochen Wüste, drei Feuergefechte, und Sie sitzen da wie frisch gebadet. Kein Fieber. Keine Blasen. Ihr Herz, Fremder … schlägt wie ein Metronom. Kein Stolpern, kein Rauschen. Ich höre so etwas sonst nur bei — — bei gar niemandem, ehrlich gesagt."
45,1,1.4,line,HELD,V_HELD,gesprochen,,Ist das schlimm?
46,1,1.4,sfx,,,,"Er nimmt die Brille ab, putzt sie — sein Tick, wenn er lügt.",
47,1,1.4,line,DOC ARIS,V_DOC,gesprochen,zu beiläufig,"Schlimm? Nein. Nein, das ist … eine zähe Konstitution. Ein Geschenk. Fremder. Falls Ihnen je etwas an sich selbst … merkwürdig vorkommt. Kommen Sie zuerst zu mir. Nicht zum Konzern. Niemals zum Konzern."
48,1,1.4,line,HELD,V_HELD,gesprochen,,Warum sollte der Konzern sich für mein Herz interessieren?
49,1,1.4,line,DOC ARIS,V_DOC,gesprochen,"wieder ganz Arzt, setzt die Brille auf","Der Konzern interessiert sich für alles, was läuft, ohne bezahlt zu werden. — Nächster Patient!"
50,1,1.4,transition,,,,BLENDE,
51,1,1.5,atmo,,,,Tief unter Tage. Tropfen hallen. Sehr fern ein Dröhnen — etwas Großes wälzt sich im Dunkel.,
52,1,1.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Drei Ebenen abwärts, in der Schatzkammer der Schrott-Mine. Zwischen Erzbrocken eine zerdrückte Konzern-Kiste. Der Stempel: PSALM-PROGRAMM. Eigentum der Iron Rail. Zugriff nur Direktorat. Darin eine einzelne Kinetoskop-Rolle, mit Wachs versiegelt. Ins Wachs geprägt: eine Zahl."
53,1,1.5,sfx,,,,Metall dreht sich langsam im Lampenlicht. Ein Daumen reibt über eine Prägung.,
54,1,1.5,line,HELD,V_HELD,gesprochen,leise,Dreizehn. Warum kenn ich dich?
55,1,1.5,sfx,,,,"Aus der Tiefe ein Dröhnen, näher jetzt. Die Lampe flackert — hörbar am Sirren des Fadens.",
56,1,1.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,An der Wand tanzt sein Schatten. Und für einen Herzschlag hat der Schatten die falsche Silhouette: zu breite Schultern. Rohre am Rücken.
57,1,1.5,music,,,,"Ein einzelner, kalter Ton. Bruch.",
58,1,1.5,transition,,,,BLENDE,
59,1,1.6,atmo,,,,"Schmiedefeuer, leises Prasseln. Ein feines mechanisches Surren — Silas' Kupferlinse.",
60,1,1.6,sfx,,,,"Die Linse fährt auf und zu, fokussiert.",
61,1,1.6,line,SILAS,V_SILAS,gesprochen,"bedächtig, dann ernst","Konzernwachs. Direktoratssiegel. Und 'ne Chiffre, die meine Linse zum Weinen bringt. Junge, ich sag dir das als Freund: Wirf das Ding in den tiefsten Schacht und vergiss den Weg dahin."
62,1,1.6,line,HELD,V_HELD,gesprochen,,"Da stand meine Zahl drauf, Silas. Frag mich nicht, woher ich das weiß. Ich weiß es einfach."
63,1,1.6,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Eine lange Pause. Die Kupferlinse fixiert ihn. Das müde Menschenauge weicht aus.
64,1,1.6,line,SILAS,V_SILAS,gesprochen,,"… Es gibt 'nen Zug. Jeden Monat, Richtung Norden, Waggons versiegelt wie Särge. PSALM-Fracht. Was immer der Konzern dir genommen hat — wenn's Antworten gibt, fahren sie erster Klasse. Aber Züge überfällt man nicht, Junge. Züge überlebt man. Höchstens."
65,1,1.6,line,HELD,V_HELD,gesprochen,,Dann werd ich überleben. Das kann ich anscheinend gut.
66,1,1.6,transition,,,,BLENDE,
67,1,1.7,atmo,,,,"Sturm. Peitschender Regen. Ein fahrender Panzerzug — Räder auf Schienen, rhythmisch, schnell. Überdruck zischt ab.",
68,1,1.7,music,,,,"HERZ-/KOLBEN-MOTIV, härter, schneller — zum ersten Mal aggressiv.",
69,1,1.7,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Nacht. Ein Gewitter. Auf dem Flachwagen steht breitbeinig der Zugmeister der Iron Rail — Kolben-Jack, zwei Meter, den rechten Arm ersetzt durch eine dampfgetriebene Ramme. Hinter ihm der versiegelte Waggon mit der Dreizehn."
70,1,1.7,line,KOLBEN-JACK,V_JACK,gesprochen,"brüllt gegen den Wind, fast fröhlich","Ich hab Männer unter Räder fallen sehen und Räder auf Männer! Aber du bist der Erste, der FREIWILLIG auf meinen Zug steigt!"
71,1,1.7,sfx,,,,Die Ramme schnellt vor — WHAM — der ganze Wagen bebt.,
72,1,1.7,line,KOLBEN-JACK,V_JACK,gesprochen,,Der Direktor zahlt für blinde Passagiere in Schrottpreisen!
73,1,1.7,line,HELD,V_HELD,gesprochen,"ruhig, gegen den Sturm",Ich will nur einen Waggon. Den mit der Dreizehn.
74,1,1.7,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Jack erstarrt. Zum ersten Mal weicht das Grinsen. Er tritt näher, mustert das Gesicht des Helden im Blitzlicht — und etwas wie Erkennen, wie Aberglaube, flackert in ihm auf."
75,1,1.7,line,KOLBEN-JACK,V_JACK,gesprochen,"leiser, Angst kriecht rein",… Nein. Neinneinnein. Dich ham sie doch abgeschrieben. Dich ham sie in die Wüste — EINHEIT—
76,1,1.7,sfx,,,,"Er spricht es nicht zu Ende. Donner. Der Bosskampf beginnt — Rammenschläge, splitterndes Holz. Mit jedem Treffer in den Waggon dahinter ein neues Geräusch: metallisches Klirren, tausendfach. Regale voller Messingwalzen.",
77,1,1.8,atmo,,,,Regen und Zug treten ganz in den Hintergrund.,
78,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Der Held hat Jack an den Rand gedrängt. Da zündet Jack den Notdruck.
79,1,1.8,sfx,,,,Ein Kreischen wie von tausend Kesseln — die Ramme fährt aus und trifft den Helden voll in die Brust.,
80,1,1.8,sfx,,,,Er durchschlägt eine Wand. Holz splittert. Ein Kartentisch zerbirst. Kristallgläser klingen wie gefrorener Regen. Er schlittert über Parkett.,
81,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Er schlittert auf die gegenüberliegende Wand zu. Dort hängt ein hoher Garderoben-Spiegel. Und alles verstummt — bis auf ein einzelnes, sauberes, mechanisches Ticken, das immer lauter wird. Sein eigenes."
82,1,1.8,sfx,,,,"Ein Spiegel zerbricht sternförmig, dicht, direkt.",
83,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Er hebt den Kopf. Und sieht. In jeder Scherbe ein anderes Fragment. In einer — ein Auge, das keins ist: eine glühende Okular-Iris. In der nächsten — Zähne? Nein: verzahnter Stahl. In der dritten — Rauch, der aus einem Kiefergelenk sickert. Die Haut flackert wie eine schlecht projizierte Aufnahme. Und darunter: ein rauchender, einäugiger Stahl-Schädel. Zahnräder, wo ein Kiefer kauen sollte. Öl, das in den Nähten kocht wie schwarzes Blut."
84,1,1.8,sfx,,,,"Ein hartes System-Klicken, dann ein tiefes Anlaufen wie ein hochfahrender Rechenkern.",
85,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,"nüchtern, wie Systemmeldungen",System-Neustart. Sensor-Illusion — Desynchronisation. Protokoll: Wahrheit. — Du bist keine Kreatur aus Fleisch. Du bist eine Maschine.
86,1,1.8,line,HELD,V_HELD,gedanke,"Gedanke — fassungslos, nach innen; noch reine Menschenstimme, das Doppel-Timbre kommt erst danach","Nein. Nein, ich — ich hab doch geblutet. Ich hab doch … Ich hab doch geträumt."
87,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Und dann tut er das Furchtbarste. Er lacht. Ein kurzes, kaputtes Lachen — halb Schluchzen, halb ein Ventil, das Druck ablässt."
88,1,1.8,sfx,,,,"Schulterventile stoßen Dampf ab, in kurzen, harten Stößen.",
89,1,1.8,line,HELD,V_HELD,gesprochen,"leise, in die Scherben",Wer hat mir mein Gesicht geschuldet … und mit einer Lüge bezahlt?
90,1,1.8,sfx,,,,"Hinter ihm bricht Kolben-Jack durch die Wand, hinkend, die Ramme leckgeschlagen und zischend.",
91,1,1.8,line,KOLBEN-JACK,V_JACK,gesprochen,"keuchend, Galgenhumor eines toten Mannes","Na. Jetzt weißte's. Weißte was? Ich fahr seit zwanzig Jahren für den Konzern. Und du bist trotzdem der menschlichste Hurensohn, der je auf meinen Zug —"
92,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Der Held erhebt sich. Zum ersten Mal in voller mechanischer Silhouette: Dampf aus den Schulterventilen, das eine Auge eine ruhige, orange Glut."
93,1,1.8,line,HELD,V_HELD,gesprochen,"neues Doppel-Timbre, sehr ruhig",Runter von meinem Zug.
94,1,1.8,transition,,,,HARTER SCHNITT,
95,1,1.8,sfx,,,,Der gekaperte Panzerzug donnert mit brennender Lok gegen die Iron-Rail-Sprengtore. Stahl birst wie Eis.,
96,1,1.8,music,,,,"HERZ-MOTIV, triumphal-düster, in ein Ende der Folge.",
97,1,1.8,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Dahinter: Sektor Zwei. Offen. Bis zum vergifteten Horizont. — Ende der ersten Folge.
98,2,2.1,atmo,,,,"Saloon — aber die Stimmen ersticken schlagartig, als die Tür geht. Ein Glas zerspringt irgendwo.",
99,2,2.1,music,,,,Das Klavier bricht ab.,
100,2,2.1,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Er kehrt zurück als das, was er ist. Der Saloon verstummt. Ein Betrunkener greift zum Revolver — und lässt ihn stecken, weil seine Hand zu sehr zittert. Der Held geht durch eine Gasse aus Blicken zum Tresen. Mabel sieht ihn lange an. Dann bückt sie sich, kramt — und stellt ihm statt des Schnapsglases eine Dose feinstes Schmieröl hin. Mit Untertasse."
101,2,2.1,line,MABEL,V_MABEL,gesprochen,,Aufs Haus. Wie immer.
102,2,2.1,sfx,,,,"Ventile zischen leise — sein neues „Atemholen"".",
103,2,2.1,line,HELD,V_HELD,gesprochen,,Du … fragst nicht mal?
104,2,2.1,line,MABEL,V_MABEL,gesprochen,,"Was fragen? Ob du 'ne Maschine bist? Kleiner, ich schenk seit dreißig Jahren aus. Ich hab Männer aus Fleisch gesehen, die weniger Herz hatten als deine Taschenuhr. Du hast der alten Vess das Dach geflickt. Du hast den Jungen vom Doc aus der Grube getragen. Das warst du. Aus was du dabei warst, ist deine Sache. UND WER DAS ANDERS SIEHT, TRINKT AB SOFORT WOANDERS!"
105,2,2.1,music,,,,Das Klavier setzt wieder ein. Zögernd. Aber es setzt ein.,
106,2,2.1,transition,,,,BLENDE,
107,2,2.2,atmo,,,,Wind auf einer Wehr aus Schienenstahl. Unten exerzieren Arbeiter mit zusammengeflickten Gewehren.,
108,2,2.2,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Drei Fraktionen werben um den wandelnden Stahlkessel. Die Eiserne Gilde bietet Zugriff auf ihre Bücher, die Schmuggler bieten Wege ins alte Leben. Aber nur eine sieht ihn zuerst als Menschen — indem sie ihn hart wie einen behandelt. Auf der Brustwehr von Fort Freedom steht Gideon Cross, die Narbe vom Kinn bis übers Ohr."
109,2,2.2,line,GIDEON,V_GIDEON,gesprochen,"ohne Begrüßung, hart","Weißt du, was der Konzern aus Menschen macht? Zahlen. Weißt du, was er aus dir gemacht hat? Einen Beweis. Den wandelnden Beweis, dass ihnen nicht mal unser Sterben mehr gehört — sie verwerten es."
110,2,2.2,line,HELD,V_HELD,gesprochen,,Ich bin nicht dein Beweis. Ich such meine Familie.
111,2,2.2,line,GIDEON,V_GIDEON,gesprochen,"tritt dicht heran — der Einzige, der dem Helden nie ausweicht","Dann hör mir gut zu, Maschine, denn ich sag das nur einmal: Alles, was der Konzern dir je gezeigt hat, lief durch seine Linsen. Willst du deine Familie finden? Dann brich die Linsen. Wir brechen das Konzern-Monopol — oder sterben beim Versuch. Du hast den Vorteil: Du bist beim Sterben nicht so leicht kleinzukriegen."
112,2,2.2,sfx,,,,"Eine Stahlhand schließt sich um eine vernarbte. Ein fester, kurzer Griff.",
113,2,2.2,line,HELD,V_HELD,gesprochen,,Dann brechen wir Linsen.
114,2,2.2,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Er ist der Erste, der den Helden nimmt, wie man einen Mann nimmt — nicht vorsichtig wie ein Ding. Die Wahl ist getroffen."
115,2,2.2,transition,,,,BLENDE,
116,2,2.3,atmo,,,,"Ein Unterschlupf aus Wellblech. Nachts. Öl tropft irgendwo im Chassis, wie ein zu langsamer Herzschlag.",
117,2,2.3,music,,,,"FAMILIEN-MOTIV, die Spieluhr — schön, aber man hört sie leiern.",
118,2,2.3,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Der Held ist allein. Er kurbelt den kleinen Kinetoskop-Projektor. An der Wand: seine Frau Liv, lachend, die Tochter Sara auf den Schultern, der Sohn Tom, der winkt. „Komm heim, Jeremiah."" Er sieht es zum hundertsten Mal."
119,2,2.3,sfx,,,,"Die Kurbel — vor, zurück, vor, zurück. Sein Okular fokussiert mit hartem Klicken.",
120,2,2.3,line,HELD,V_HELD,gesprochen,"leise, tastend","… Sara. Du winkst. Du winkst genauso. Jedes Mal. Dreiundzwanzig Bilder, dann der Blick nach links."
121,2,2.3,sfx,,,,Die Kurbel verharrt. Nur noch der Öltropfen.,
122,2,2.3,line,HELD,V_HELD,gedanke,"Gedanke — die Erkenntnis dämmert, nach innen",Kinder winken nie zweimal gleich.
123,2,2.3,music,,,,Das Familien-Motiv verzieht sich einen Halbton ins Falsche.,
124,2,2.3,transition,,,,BLENDE,
125,2,2.4,atmo,,,,Ein Funkraum. Ein zerlegter Projektor surrt; ein Bild flackert an der Wand.,
126,2,2.4,line,TESS,V_TESS,gesprochen,rattert schnell,"Okay, okay, sieh her: Frame vierhundertzwölf, die Sonne steht links, Schatten fallen rechts — Frame vierhundertdreizehn, Schatten falln LINKS. Die Sonne springt nicht, Großer. Sonnen tun das nicht."
127,2,2.4,sfx,,,,Das Bild hält an — die Kurbel stoppt.,
128,2,2.4,line,TESS,V_TESS,gesprochen,wird zum ersten Mal langsam,Das ist 'ne Naht. Alchemistischer Bildsatz. Die haben … die haben deine Frau aus zwei verschiedenen Aufnahmen zusammengeklebt. Es tut mir leid. Das da … das ist nirgendwo. Das ist aus einem Labor.
129,2,2.4,line,HELD,V_HELD,gesprochen,"sehr still, das Okular-Glühen dimmt — die mechanische Blässe","Die Stimme. Sie sagt meinen Namen. „Komm heim, Jeremiah."""
130,2,2.4,line,TESS,V_TESS,gesprochen,leise,"… Aus wie vielen Botschaften, glaubst du, kann man ein „Komm heim"" zusammenschneiden?"
131,2,2.4,music,,,,"Das Familien-Motiv zerfällt in einzelne, wiederholte Silben — hörbar zerschnitten.",
132,2,2.4,transition,,,,BLENDE,
133,2,2.5,atmo,,,,Aschgraue Dämmerung. Ein toter Weiler an der Smog-Linie. Nur Wind durch verkohlte Balken. Ein Blechschild quietscht.,
